,기업명,채용공고,경력,위치
241,앤서스랩코리아,[DX]Data Warehouse Engineer,경력 5-11년,서울 강남구
242,패스트파이브,DevOps 엔지니어,경력 5-10년,서울 강남구
243,넷스루,풀스택 개발자 (5년 이상),경력 5-15년,서울 성동구
244,포디리플레이코리아,C/C++ Application Development (5년 이상),경력 5-10년,경기 성남시
245,포티투닷(42dot),Machine Learning Engineer (Motion Planning),경력 5-20년,서울 강남구
246,비큐에이아이,서비스개발본부 프론트개발팀 FE개발 (시니어),경력 6-10년,서울 중구
247,클래스유,백엔드 개발자 (B.E),경력 3-6년,서울 중구
248,제네시스랩,[200억↑투자] Data Scientist (3년이상),경력 3-15년,서울 중구
249,해긴,데이터 기획 및 분석 (BI),경력 5-10년,서울 구로구
250,패스트파이브,웹 프론트엔드 개발자,경력 5-9년,서울 강남구
251,십단콤보,핀테크 SaaS 풀스택 개발,경력 2-10년,서울 영등포구
252,빗썸코리아,[빗썸] DBA,경력 7-15년,서울 강남구
253,바이브컴퍼니,웹 개발자,경력 5-10년,서울 용산구
254,니어스랩,소프트웨어 엔지니어(컴퓨터 비전),경력 2-10년,서울 송파구
255,와이덴케어,웹 프론트엔드,경력 3-10년,경기 
256,식스티헤르츠,Data Scientist,경력 3-8년,서울 성동구
257,코인원(coinone),Web Frontend 개발자(7년이상),경력 7-15년,서울 영등포구
258,한화생명보험,[COE부문] AI Modeling Engineer,경력 5-15년,서울 영등포구
259,에이아이썸,R&D 백엔드 엔지니어,경력 2-4년,서울 강남구
260,쿼리시스템즈,자사 제품 개발 AI 전문가,경력 5-20년,경기 성남시
261,모빅랩,Senior AI Researcher,경력 3-25년,서울 서초구
262,마스오토,플랫폼 엔지니어,경력 3-10년,서울 서초구
263,안티그래비티,데이터 사이언티스트,경력 1-20년,서울 성동구
264,모요,데이터분석가,경력 3-8년,서울 강남구
265,물류대장,"네이티브 앱 개발자(React Native, 5년 이상)",경력 5-7년,서울 마포구
266,알티올,물류자동화 시스템 Full stack 개발자,경력 8-15년,인천 연수구
267,마스오토,머신러닝 엔지니어,경력 3-20년,서울 서초구
268,앤서스랩코리아,[CTI]Frontend Engineer,경력 5-15년,서울 강남구
269,엔쓰리엔(N3N),Cloud Native App/Web 개발자,경력 3-15년,서울 강남구
270,에스에이치아이,스마트팩토리 MES 개발자,경력 5-15년,경기 성남시
271,아더월드,풀스텍 개발자 시니어급,경력 7-9년,서울 성동구
272,다우기술,Web Application 개발 (경리회계/경영지원),경력 7-15년,경기 성남시
273,하이스트레인저,크로스플랫폼(flutter)/ 시니어 프론트엔드 엔지니어,경력 4-8년,서울 종로구
274,플루언트,MLOps Engineer (DevOps Engineer),경력 3-15년,서울 강남구
275,퀄리타스반도체,SW Engineer,경력 1-5년,경기 성남시
276,브레인커머스,[잡플래닛] Sr.Frontend Engineer -잡시커플랫폼,경력 8-15년,서울 강남구
277,넷스루,데이터솔루션엔지니어 수행 팀원 담당자,경력 3-8년,서울 성동구
278,팀프레시,[100억↑투자] TMS스쿼드 물류사업 IT 기획자(1년 이상),경력 1-5년,서울 강남구
279,뮤즈라이브(Muzlive),백엔드 엔지니어 (Python/Django),경력 2-10년,서울 마포구
280,씨엘모빌리티,AI연구소 모빌리티 서비스 시스템 개발자,경력 3-7년,서울 강남구
281,에너넷,BE 개발자,경력 5-10년,서울 
282,베어로보틱스코리아,Multi Robot 소프트웨어 개발자,경력 3-10년,서울 성동구
283,머플,Senior Frontend Engineer,경력 6-15년,경기 성남시
284,통하는사람들,프론트엔드 개발자(React Native) (3년 이상),경력 3-8년,서울 강남구
285,모빅랩,AI 연구원(병역특례 전문연구요원 가능),경력 1-20년,서울 서초구
286,라온피플,Senior Back-end Engineer,경력 10-15년,경기 과천시
287,네비웍스,AI 개발자(1년 이상),경력 1-10년,경기 
288,앰버로드,PM 및 백엔드 엔지니어,경력 5-15년,서울 강남구
289,마켓디자이너스,[튜터링] AI Product Software Engineer(4년이상),경력 1-10년,서울 강남구
290,피플밤,프론트엔드(web/플러터) 엔지니어 (제주본사/판교근무),경력 1-15년,경기 성남시
291,엔쓰리엔(N3N),Cloud Native App/Web 개발자,경력 3-15년,서울 강남구
292,알지티,SW개발자,경력 3-10년,서울 금천구
293,어센트코리아(Ascent Korea),데이터 사이언스 (5년이상),경력 5-10년,서울 강남구
294,엠투클라우드,R&D팀 펌웨어 개발자,경력 4-10년,서울 송파구
295,인터엑스,[울산][전문연구요원] 데이터 분석가 (이미지 및 영상),경력 2-5년,울산 남구
296,뉴블라,Front-end Engineer,경력 5-10년,서울 강남구
297,클라썸,[200억↑투자] 앱(React Native) 개발자,경력 2-20년,서울 강남구
298,포스페이스랩,Backend Developer,경력 5-10년,서울 강남구
299,하이(Haii),데이터 사이언티스트,경력 2-5년,서울 종로구
300,더즌(dozn),플랫폼개발팀 프론트엔드(React Native) 개발자,경력 6-10년,서울 서초구
301,멋쟁이사자처럼,[TECHIT] 백엔드 개발자,경력 10-15년,서울 종로구
302,네오비소프트,Web Service Full Stack Engineer,경력 10-15년,서울 서초구
303,쏘카(SOCAR),Data Analyst/Data Scientist,경력 2-7년,서울 성동구
304,리코(recokr),[300억↑투자] [개발팀] 시니어 백엔드 개발자,경력 7-12년,서울 강남구
305,피앤디솔루션,UIX 개발자 / Javascript,경력 3-5년,경기 안양시
306,먼슬리키친,Front-end 개발자(Flutter/앱) (10년이상),경력 10-20년,서울 강남구
307,매드업,시니어 백엔드 개발자 (테크사업부),경력 5-10년,서울 강남구
308,캐낸다,백엔드 개발자/머신러닝 엔지니어,경력 5-10년,서울 강남구
